Grassland Reserve Program (GRP)  Report 

Financial Information

This program does not include Reimbursable funds.

GRP Total Obligations by Fiscal Year
In thousands of dollars

Division, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022,
Land Unit Acres treated by at least one practice,         17569,            185,          38878,            267,          30841,            221,          16537,            221,          20545,             82,          46318,            119,          45653,            128,          19729,             77,          29196,            139,          11415,             88,          13416,             27,           2836,            139,           8116,             89,          11737,             37,


Land Unit Acres Receiving Conservation (including practice count) by Fiscal Year
GRP Grazing Land Conservation Practices (Note that only practices applied on grazed range- grazed forest- native and naturalized pasture- or pasture land are included.)

Practice Name, Practice Code,2009 Acres, 2009 Count, 2010 Acres, 2010 Count, 2011 Acres, 2011 Count, 2012 Acres, 2012 Count, 2013 Acres, 2013 Count, 2014 Acres, 2014 Count, 2015 Acres, 2015 Count, 2016 Acres, 2016 Count, 2017 Acres, 2017 Count, 2018 Acres, 2018 Count, 2019 Acres, 2019 Count, 2020 Acres, 2020 Count, 2021 Acres, 2021 Count, 2022 Acres, 2022 Count,
Animal Trails and Walkways , 575 , ,,            24,              1, ,,            24,              1,             64,              2, ,,,,,,            44,              2, ,,,,,,,,,,
Brush Management , 314 ,            472,              1,           2919,             26,            556,             28,           4831,             32,           1097,             57,            978,             54,           1130,             54,             70,              3,             92,             10, ,,,,          2151,            105, ,,,,
Critical Area Planting , 342 ,             44,              3,            321,              2,             16,              2,            147,              1,             20,              1, ,,,,,,,,,,,,,,,,,,
Fence , 382 ,            618,             26,           2406,             12,             45,              2,             77,              3,            871,             18,            291,             14,            656,             15,             53,              4,            215,              4,             87,              2, ,,,,,,,,
Forage Harvest Management , 511 ,           1503,             70,           3313,            140,           3683,            171,           5851,            228,           1145,             75,            757,             41,            457,             31,            911,             34,            605,              9,            872,             40,            104,             14,           2316,            109,             24,              1,           1338,             51,
Forage and Biomass Planting , 512 ,            199,             11,            245,             15,           1302,             26,             95,             10,            253,             19,            485,             14,            178,              6,            449,             16, ,,           278,             19, ,,,,,,,,
Heavy Use Area Protection , 561 ,             13,              2, ,,,,,,            38,              2,             76,              1,             28,              1, ,,,,,,,,,,,,,,
Herbaceous Weed Control , 315 , ,,,,            42,              4,           2749,             13,           1301,              4,            112,              1,            184,             14, ,,,,          4222,             29, ,,           680,              7, ,,,,
Integrated Pest Management (IPM) , 595 ,           5353,            233,           8232,            224,           9989,            334,           8011,            275,           3608,            185,           3512,            171,           1393,             70,            190,              9,            553,             20,           7876,             80,            960,             16,           2271,            110,             36,              1,            117,              1,
Livestock Pipeline , 516 ,            140,              6,              6,              1,             22,              1,             34,              6,            923,             18,             89,              3,             69,              8,             74,              1,             83,              1, ,,,,,,,,,,
Nutrient Management , 590 ,           3119,            146,           2908,            187,           4374,            175,           4229,            225,           2528,            120,           2053,            112,            327,             28,            150,              7,            103,              4,            572,             36,            150,              7,            150,              7, ,,,,
Pond , 378 ,             97,              2, ,,,,           147,              1,            127,              1,            111,              2, ,,,,,,           142,             10, ,,,,,,,,
Prescribed Burning , 338 ,             52,              3,            599,              6,            889,             29,           1334,             18, ,,,,          2478,              5, ,,            28,              4, ,,,,            35,              2,            305,              1, ,,
Prescribed Grazing , 528 ,          37856,            453,         108495,            637,          92654,            593,          94049,            710,         117392,            700,         116853,            818,         101116,            475,          40967,            194,          37619,            286,          53528,            502,          31000,             74,          76057,            161,          52294,             80,          26114,            124,
Range Planting , 550 , ,,,,,,           541,              2, ,,,,,,,,,,,,,,,,,,,,
Waste Recycling , 633 , ,,            31,              2, ,,,,,,,,,,,,,,,,,,,,,,,,
Water Well , 642 , ,,,,,,,,,,,,,,,,            83,              1, ,,,,,,,,,,
Watering Facility , 614 ,            127,              5,           1296,              1,            108,              4,            306,             10,            839,             12,             12,              2,            120,              7,             74,              1,            100,              4,            137,              9, ,,,,            66,              2, ,,

Land Unit Acres Receiving Conservation (including practice count) by Fiscal Year
GRP Grazing Land Conservation Practices (Note that only practices applied on grazed range- grazed forest- native and naturalized pasture- or pasture land are included.)

,2009 Acres, 2009 Count, 2010 Acres, 2010 Count, 2011 Acres, 2011 Count, 2012 Acres, 2012 Count, 2013 Acres, 2013 Count, 2014 Acres, 2014 Count, 2015 Acres, 2015 Count, 2016 Acres, 2016 Count, 2017 Acres, 2017 Count, 2018 Acres, 2018 Count, 2019 Acres, 2019 Count, 2020 Acres, 2020 Count, 2021 Acres, 2021 Count, 2022 Acres, 2022 Count,
Land Unit Acres treated by at least one practice,         29875,            961,         107178,           1254,          79120,           1369,          75096,           1535,         112378,           1214,         106277,           1233,          88239,            714,          35215,            269,          33178,            345,          16798,            727,          27650,            111,          17855,            501,          13883,             85,          12415,            176,


Land Unit Acres Receiving Conservation (including practice count) by Fiscal Year
GRP All Other Practices

Practice Name, Practice Code,2009 Acres, 2009 Count, 2010 Acres, 2010 Count, 2011 Acres, 2011 Count, 2012 Acres, 2012 Count, 2013 Acres, 2013 Count, 2014 Acres, 2014 Count, 2015 Acres, 2015 Count, 2016 Acres, 2016 Count, 2017 Acres, 2017 Count, 2018 Acres, 2018 Count, 2019 Acres, 2019 Count, 2020 Acres, 2020 Count, 2021 Acres, 2021 Count, 2022 Acres, 2022 Count,
Animal Trails and Walkways , 575 , ,,,,,,,,,,             3,              1, ,,,,             5,              1, ,,,,,,,,,,
Brush Management , 314 , ,,           159,             11,            474,             11,            158,              3,            299,             26,            264,             25,            264,             25, ,,,,,,,,           331,             34, ,,,,
Fence , 382 ,             51,              5, ,,,,,,,,             3,              1, ,,,,,,,,,,,,,,,,
Forage Harvest Management , 511 ,            404,             31,            589,             51,           2195,            106,            675,             48,            755,             54,            327,             34,           1092,             46,             51,              4,            132,             12,             34,              1,            104,              3,            101,              9, ,,           119,              4,
Forage and Biomass Planting , 512 ,              9,              2,             65,              9,             58,              6,             15,              1,             59,              1,             39,              3,             22,              2, ,,,,             7,              3, ,,,,,,,,
Forest Stand Improvement , 666 , ,,,,            62,              4, ,,,,,,,,,,,,,,,,,,,,,,
Grazing Management Plan - Applied , 111 , ,,,,,,            17,              1, ,,,,,,,,,,,,,,,,,,,,
Grazing Management Plan - Written , 110 , ,,,,,,            17,              1, ,,,,,,,,,,,,,,,,,,,,
Heavy Use Area Protection , 561 ,              9,              1,             31,             11, ,,,,,,,,,,,,,,,,,,,,,,,,
Herbaceous Weed Control , 315 , ,,,,           144,              2, ,,,,           102,              1,            251,             14, ,,,,,,,,           230,              4, ,,,,
Integrated Pest Management (IPM) , 595 ,           1099,             28,            258,             14,            664,             35,            356,             36,            531,             34,            282,             27,            286,             27, ,,,,            34,              1, ,,           295,             32, ,,,,
Invasive Plant Species Control , 797 , ,,,,           218,              5,           2443,              1, ,,,,,,,,,,,,,,,,,,,,
Irrigation Water Management , 449 , ,,,,,,,,             1,              1, ,,,,          1318,             15, ,,,,,,,,,,,,
Land Clearing , 460 , ,,,,            13,              2,             24,              6, ,,,,,,,,,,,,,,,,,,,,
Livestock Pipeline , 516 , ,,,,,,             5,              2, ,,            13,              1, ,,,,,,,,,,,,,,,,
Nutrient Management , 590 ,            224,             14,             96,              6,             79,              4,            276,             33,            291,             12,             18,              2,            238,             15, ,,,,,,,,,,,,,,
Obstruction Removal , 500 , ,,,,            62,              4,              6,              1,              7,              1, ,,            74,              1, ,,,,,,,,,,,,,,
Prescribed Burning , 338 , ,,,,           607,             11,             50,              3, ,,,,           560,              2, ,,,,,,,,,,,,,,
Prescribed Grazing , 528 ,           2325,             49,            673,             47,           1275,             43,            657,             26,            179,             11,            237,             15,           3509,             24,             18,              1,            132,             12,            387,              1,            106,              3,            297,             33, ,,,,
Spring Development , 574 ,            100,              2, ,,,,,,,,,,             4,              1, ,,,,,,,,,,,,,,
Stream Crossing , 578 , ,,,,,,,,,,,,,,,,            11,              1, ,,,,,,,,,,
Underground Outlet , 620 , ,,,,,,            10,              2, ,,,,,,,,,,,,,,,,,,,,
Watering Facility , 614 ,              9,              1, ,,,,             5,              2, ,,,,,,,,,,,,,,,,,,,,

Sources:
Financial Data FY 2012-2022:  USDA-NRCS Financial Management Modernization Initiative (FMMI) October 2022. 
Financial Data FY 2009-2011:  USDA-NRCS Foundation Financial Information System (FFIS).
Conservation Practice Data: USDA-NRCS National Planning and Agreements Database (NPAD) October 2022. 

Financial Data Notes:
Other indicates Headquarters- Regional- or other non-State divisions.
Totals may not exactly match sum over states due to rounding.
Financial data should not be incorporated with the programmatic enrollment data to derive a cost/acre or cost/agreement. Among other reasons- 
such calculations will not produce accurate results since both technical assistance and financial assistance obligations for associated conservation 
practices are included in these data- in addition to the obligations used for purchasing easements.
Except for the minor amount of due diligence funds administered by NRCS (state level data ) the Farm Service Agency (FSA) administers the 
majority of GRP funds for both easements and rental contracts. National totals for the funds administered by FSA are included in the "Other" category.
The Agricultural Act of 2014 (the 2014 Act) authorized the use of prior year GRP funds remaining  from 2009 through 2013 to carry out contracts- agreements- or easements entered into prior to the  
date of enactment of the 2014 Act- including the provision of technical assistance- provided that no  such contract- agreement- or easement is modified so as to increase the amount of payment received.   
Pursuant to this authority- the GRP funds obligated in FY 2014 were used to carry out acquisition and  restoration activities on GRP contracts- agreements- or easements.
Negative numbers reflect fund adjustments made throughout the year.

Conservation Practice Data Notes:
Conservation Practice Implementation Reports

Land Unit Acres Receiving Conservation:
Land Unit Acres Receiving Conservation by Fiscal Year.
  Land unit acres may be counted multiple times across fiscal years.

Land Unit Acres Receiving Conservation by Practice and Fiscal Year.
  Land unit acres may be counted multiple times across practices and fiscal years.
  Watering Facility (614) is not included in the Fish and Wildlife Practices table. It is included in the All Other Practices table 
Land Unit Acres Receiving Conservation by Fiscal Year. 
  Land unit acres may be counted multiple times across fiscal years. 


Caribbean includes Puerto Rico and U.S. Virgin Islands.
Hawaii/Pacific includes Hawaii and the Pacific Basin.

Website citation:  Natural Resources Conservation Service- Washington- DC. 31 March 2023.
